"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","4.7u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C2,C3,C4,C23,C25,C26,C41,C42,C45,C46,C55","11","10u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C5,C6,C33,C35,C36,C37,C38","7","22u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C7,C8,C15,C16,C17,C18,C19,C20,C21,C22,C24,C34,C39,C40,C43,C44,C47,C48,C49,C50,C52,C54,C56","23","0.1u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C9","1","47p","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C10,C11,C12,C13","4","47u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C14,C31,C32,C51,C53","5","1u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C27","1","10p","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C28,C29","2","2.2u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C30","1","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C57","1","470n","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C58,C59","2","330p","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"D1","1","D_Shockley","","","","Diode_SMD:Vishay_SMPA","~"
"D2","1","D_Dual_CommonAnode_KKA_Parallel","","","","Package_TO_SOT_SMD:SC-59_Handsoldering","~"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","PHYTEC:CONN_8p94X6p5X3p16_12L_GCC","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Micro_SD_Card_Det_Hirose_DM3AT","","","","Connector_Card:microSD_HC_Hirose_DM3BT-DSF-PEJS","https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1"
"J3","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J4","1","2328702-8","","","","PHYTEC:TE_2328702-8",""
"J5","1","AYF333135","","","","PHYTEC:CONN_AYF333135_PAN","AYF333135"
"J6","1","Bus_M.2_Socket_E","","","","PHYTEC:JAE_SM3ZS067U310AER1200","https://web.archive.org/web/20200613074028/http://read.pudn.com/downloads794/doc/project/3133918/PCIe_M.2_Electromechanical_Spec_Rev1.0_Final_11012013_RS_Clean.pdf#page=150"
"J7","1","Conn_ARM_JTAG_SWD_10","","","","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD","http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf"
"L1","1","4.7u","","","","Inductor_SMD:L_Coilcraft_XAL6060-XXX","~"
"L2","1","15u","","","","PHYTEC:IND_AMPLA7030Q-150MT","~"
"L3,L4","2","4.7u","","","","Inductor_SMD:L_Taiyo-Yuden_NR-50xx_HandSoldering","~"
"LS1,LS2","2","Speaker","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"MP1","1","M2 x 1.5mm","","","","PHYTEC:WA-SMSI_9774015243",""
"Q1,Q2","2","Q_NMOS_GSD","","","","Package_TO_SOT_SMD:SC-59_Handsoldering","~"
"Q3,Q4","2","PMOS","","","","Package_TO_SOT_SMD:SC-59_Handsoldering","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"R1,R2,R3,R12,R17,R18,R19,R21,R22,R23,R24,R25,R30,R31,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R60","27","10k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R4,R5,R6,R7","4","100k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R8,R10,R16","3","5.1k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R9","1","R","DNP","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R11","1","23.2k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R13,R34","2","220k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R14","1","30k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R15","1","330k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R20","1","0","DNP","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R26,R27,R28,R29","4","1K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R32,R45,R46","3","0","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R33","1","360k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R35,R37","2","47k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R36","1","20k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R38","1","15k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R39,R40,R41,R42,R43,R44","6","2k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"SW1","1","SW_DIP_x04","","","","Button_Switch_SMD:SW_DIP_SPSTx04_Slide_Copal_CHS-04B_W7.62mm_P1.27mm","~"
"SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12","11","SW_Push","","","","PHYTEC:SW_EVP-ASAC1A","~"
"SW13,SW15","2","SW_Push_Shielded","","","","PHYTEC:SW_EVQ-P46B3M","~"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12","12","TestPoint","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1","1","TVS2200DRV","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","http://www.ti.com/lit/ds/symlink/tvs2200.pdf"
"U2","1","TPS25730D","","","","Package_DFN_QFN:Texas_REF0038A_WQFN-38-2EP_6x4mm_P0.4","https://www.ti.com/lit/ds/symlink/tps25730.pdf"
"U3","1","TPS51396A","","","","Package_DFN_QFN:Texas_RJE0020A_VQFN-20-1EP_3x3mm_P0.45mm_EP0.675x0.76mm","https://www.ti.com/lit/gpn/tps51396a"
"U4","1","TXB0102DCT","","","","Package_SO:TSSOP-8_3x3mm_P0.65mm","http://www.ti.com/lit/ds/symlink/txb0102.pdf"
"U5","1","LM3492MHX/NOPB","","","","PHYTEC:PWP0020A_N","https://www.ti.com/lit/gpn/lm3492"
"U6","1","TPS65133DPDR","","","","PHYTEC:SON40P300X300X80-13N",""
"U7","1","TLV320AIC3110IRHBR","","","","PHYTEC:IC_ADS125H01IRHBT",""
"U8","1","ADXL343","","","","Package_LGA:LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y","https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL343.pdf"
"U9","1","MSPM0L1306xDGS28","","","","PHYTEC:MSPM0L130XxDGS28","https://www.ti.com/lit/ds/symlink/mspm0l1306.pdf"
"X1","1","PHYTEC-FPSC-L","","","","PHYTEC:PHYTEC-FPSC-BASIS-L-Socket",""
"X2,X3","2","~","","","","PHYTEC:5628 Joystick Switches -  Adafruit Industries",""
"XTAL1","1","OM-7604-C7-32.768KHZ-20PPM-TA-QC","","","","PHYTEC:OM-7604-C7_MCX","OM-7604-C7-32.768KHZ-20PPM-TA-QC"
